norm_path	hits	max_list_len
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.TileBasedSystems[].ChainPositions	96	129
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.ISimulator.Simulations	48	129
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.Layout.Buildings	48	129
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.Layout.Islands	48	129
definition_snapshot.ISimulationSystem.OnSimulationCreated.Listeners[].Target.Systems	48	129
simulation_parameters.ISimulationSystem.OnSimulationCreated.Listeners[].Target.ISimulator.Simulations	48	129
simulation_parameters.ISimulationSystem.OnSimulationCreated.Listeners[].Target.Systems	48	129
definition_snapshot.IShapeCollectorSystem.OnShapesCollected.Listeners[].Method.Module.Assembly.DefinedTypes	44	129
definition_snapshot.IShapeCollectorSystem.OnShapesCollected.Listeners[].Method.Module.Assembly.ExportedTypes	44	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.LocalizedSimulationType.Assembly.DefinedTypes	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.LocalizedSimulationType.Assembly.ExportedTypes	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.Buildings	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.Islands	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.LayoutModel.Buildings	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.LayoutModel.Islands	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.Map.Buildings	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.Map.IReadOnlyMap.Buildings	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.Map.IReadOnlyMap.Islands	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.Map.Islands	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.Map.SuperChunks	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.ResourcesAccessor.SuperChunks	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.Map.SuperChunks	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.SimulationType.Assembly.DefinedTypes	36	129
definition_snapshot.IRocketProducerSystem.OnRocketProduced.Listeners[].Target.SimulationType.Assembly.ExportedTypes	36	129
definition_snapshot.Interlock.ResearchUnlockManager.Mode.Islands.AllDefinitions	36	129
definition_snapshot.Interlock.ResearchUnlockManager.Mode.PlayerLevelConfig.IconicLevelShapes	36	129
definition_snapshot.Interlock.ResearchUnlockManager.Mode.WikiDatabase.KnowledgePanelEntries	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.OnChanged.Listeners	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.OnResearchLocked.Listeners	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.OnResearchUnlocked.Listeners	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression.AllUpgrades	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression.SideQuests	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression.WikiConfiguration.WikiReferences	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression._AllUpgrades	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.Progression._SideQuests	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager.UnlockedRewards	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager._CachedEffectiveUnlockedUpgrades	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager._CachedUnlockedRewards	36	129
definition_snapshot.Interlock.ResearchUnlockManager.UnlockProgressManager._ManuallyUnlockedUpgrades	36	129
definition_snapshot.Logger.Info.LogAction.Method.Module.Assembly.CustomAttributes	8	129
definition_snapshot.Logger.Info.LogAction.Method.Module.Assembly.DefinedTypes	8	129
definition_snapshot.Logger.Info.LogAction.Method.Module.Assembly.ExportedTypes	8	129
definition_snapshot.ChainPositions	4	129
definition_snapshot.OnSimulationCreated.Listeners[].Target.TileBasedSystems[].ChainPositions	4	129
definition_snapshot.OnSimulationCreated.Listeners[].Target.ISimulator.Simulations	2	129
definition_snapshot.OnSimulationCreated.Listeners[].Target.Layout.Buildings	2	129
definition_snapshot.OnSimulationCreated.Listeners[].Target.Layout.Islands	2	129
definition_snapshot.OnSimulationCreated.Listeners[].Target.Systems	2	129
definition_snapshot.TrainIslands.Navigation.Catcher.Layout.ChunkInformationByPosition.(0, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Catcher.Layout.ChunkInformationByPosition.(0, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Catcher.Layout.ChunkInformationByPosition.(0, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Launcher.Layout.ChunkInformationByPosition.(0, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Launcher.Layout.ChunkInformationByPosition.(0, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Launcher.Layout.ChunkInformationByPosition.(0, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.QuickStation.Layout.ChunkInformationByPosition.(0, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.QuickStation.Layout.ChunkInformationByPosition.(0, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.QuickStation.Layout.ChunkInformationByPosition.(0, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(0, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(0, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(0, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(1, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(1, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(1, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(2, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(2, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(2, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(3, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(3, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(3, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(4, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(4, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.Twister.Layout.ChunkInformationByPosition.(4, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.WaitStation.Layout.ChunkInformationByPosition.(0, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.WaitStation.Layout.ChunkInformationByPosition.(0, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Navigation.WaitStation.Layout.ChunkInformationByPosition.(0, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Production.FillerCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Production.FillerCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Production.FillerCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Production.FluidCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Production.FluidCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Production.FluidCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainIslands.Production.ShapeCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileBuildableFlags_L	2	129
definition_snapshot.TrainIslands.Production.ShapeCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileNotchFlags_L	2	129
definition_snapshot.TrainIslands.Production.ShapeCargoFactory.Layout.ChunkInformationByPosition.(0, 0, 0).TileVoidFlags_L	2	129
definition_snapshot.TrainsSimulation.TrainsProductionSimulator.TrainSpawnerValidator.NavigationSimulator.NavigationCoordinators[].BlockedCoordinates	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(-1, -1, 0).TileBuildableFlags_L	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(-1, -1, 0).TileNotchFlags_L	2	129
definition_snapshot._HubIslands[].Definition.Layout.ChunkInformationByPosition.(-1, -1, 0).TileVoidFlags_L	2	129
